taxon_oid	Domain	Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	IMG Product Assignment	IMG Release	IMG Submission ID	JGI Project ID / ITS PID	JGI Analysis Product Name	JGI Analysis Project Type	GOLD Analysis Project ID	GOLD Analysis Project Type	GOLD Sequencing Project ID	GOLD Study ID	Add Date	Assembly Method	Combined Sample	Comments	Distance Matrix Calc. Date	Funding Agency	Gene Model QC	Genome Completeness %	High Quality	Is Public	NCBI Taxon ID	NCBI Project ID	RefSeq Project ID	Release Date	Strain	Submission Type	User Access	Genome Size   * assembled	Gene Count   * assembled	
640427120	Archaea	Finished	Metallosphaera sedula DSM 5348	Metallosphaera sedula DSM 5348	DOE Joint Genome Institute (JGI)	640427120	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera sedula	NA	IMG/W 2.3	0	16751	NA	Genome Analysis	Ga0029343	Genome Analysis	Gp0000163	Gs0017629	2007-06-28	NA	NA	NA	2017-03-28	DOE	No	NA	Yes	Yes	399549	17447	58717	2007-09-01	DSM 5348	Primary	NA	2191517	2347	
2522572141	Archaea	Draft	Hot spring microbial communities from Yellowstone National Park, US	Geoarchaeota-NAG1-GT2-r03 (from BED)	DOE Joint Genome Institute (JGI)	2522572141	Candidatus Geoarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	Yes	0	13433	0	NA	Genome Analysis	Ga0012667	Genome Analysis	Gp0035746	Gs0016042	2013-03-08	NA	NA	released per Ryan Jennings	2017-03-28	NA	No	NA	No	Yes	1448933	0	0	2016-11-30	NA	Primary	NA	439103	574	
2617270902	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains	Halogranum gelatinilyticum CGMCC 1.10119	DOE Joint Genome Institute (JGI)	2617270902	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogranum	Halogranum gelatinilyticum	Yes	0	62844	1058198	Microbial Minimal Draft Isolate Genome	Genome Analysis	Ga0070202	Genome Analysis	Gp0112547	Gs0110196	2015-06-01	ALLPATHS v. r46652	NA	NA	2017-03-28	NA	No	NA	Yes	Yes	660521	0	0	2015-06-11	CGMCC 1.10119	Primary	NA	3770187	3856	
2513237118	Archaea	Permanent Draft	A Comparative Genomics Investigation on Hydrogen Production from Cellulosic Materials and Starch by a Hyperthermophilic Archaeon	Desulfurococcus mobilis DSM 2161	DOE Joint Genome Institute (JGI)	2513237118	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus mobilis	Yes	0	8393	400455	NA	Genome Analysis	Ga0025522	Genome Analysis	Gp0003960	Gs0011834	2012-05-22	ALLPATHS v. R37654; ALLPATHS v. r40295	NA	NA	2017-03-28	DOE	No	NA	Yes	Yes	675631	0	0	2012-08-13	Hvv 3/9	Primary	NA	1198142	1331	
2681812914	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains	Haladaptatus litoreus CGMCC 1.7737	DOE Joint Genome Institute (JGI)	2681812914	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	Haladaptatus litoreus	Yes	0	89865	1085134	Microbial Minimal Draft Isolate Genome	Genome Analysis	Ga0104463	Genome Analysis	Gp0127331	Gs0110196	2016-06-30	ALLPATHS v. r46652	NA	NA	2017-03-28	NA	Yes	NA	Yes	Yes	553468	0	0	2016-07-11	CGMCC 1.7737	Primary	NA	4671707	5136	
2524614679	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Halorubrum ezzemoulense DSM 17463	DOE Joint Genome Institute (JGI)	2524614679	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum ezzemoulense	Yes	0	14628	1013726	Microbial Minimal Draft Isolate Genome	Genome Analysis	Ga0002742	Genome Analysis	Gp0013704	Gs0015051	2013-05-22	Unknown program v. before 2013-05-07	NA	NA	2017-03-28	DOE; DSMZ	No	NA	Yes	Yes	1121945	0	0	2013-06-03	DSM 17463	Primary	NA	3593334	3661	
2263082002	Archaea	Draft	Thaumarchaeota archaeon BS2	Thaumarchaeota archaeon strain BS2	DOE Joint Genome Institute (JGI)	2263082002	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	Yes	0	6993	0	NA	Genome Analysis	Ga0010783	Genome Analysis	Gp0013517	Gs0002177	2012-03-26	NA	NA	Released per  IMG Data Release Policy (August 6, 2015)	2017-03-28	NA	No	NA	No	Yes	651137	0	0	2015-08-06	BS2	Primary	NA	1046342	1268	
637000162	Archaea	Finished	Methanosarcina barkeri fusaro	Methanosarcina barkeri Fusaro, DSM 804	DOE Joint Genome Institute (JGI)	637000162	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri	NA	IMG/W 2.0	0	16141	NA	Genome Analysis	Ga0029372	Genome Analysis	Gp0000448	Gs0017688	2006-10-02	Phred-Phrap v. 4.24 SPS-Consed v. 20.0	NA	NA	2017-03-28	DOE	No	NA	Yes	Yes	269797	103	57715	2006-12-01	Fusaro, DSM 804	Primary	NA	4873766	3834	
2558860120	Archaea	Permanent Draft	The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.	Methanobrevibacter wolinii SH	DOE Joint Genome Institute (JGI)	2558860120	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter wolinii	Yes	0	30104	1026029	Microbial Minimal Draft Isolate Genome	Genome Analysis	Ga0005592	Genome Analysis	Gp0047017	Gs0033970	2014-03-07	vpAllpaths v. r46652	NA	NA	2017-03-28	DOE	No	NA	Yes	Yes	1410664	0	0	2014-03-19	SH	Primary	NA	2041814	1747	
2617270915	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains	Halobacterium jilantaiense CGMCC 1.5337	DOE Joint Genome Institute (JGI)	2617270915	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium jilantaiense	Yes	0	62881	1058131	Microbial Minimal Draft Isolate Genome	Genome Analysis	Ga0070153	Genome Analysis	Gp0112543	Gs0110196	2015-06-01	ALLPATHS v. r46652	NA	NA	2017-03-28	NA	No	NA	Yes	Yes	355548	0	0	2015-06-11	CGMCC 1.5337	Primary	NA	2952792	3128	
646564547	Archaea	Finished	CSP_787660, Methanoarchaea	Methanocaldococcus infernus ME	DOE Joint Genome Institute (JGI)	646564547	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus infernus	NA	IMG/W 3.2	0	202780	NA	Genome Analysis	Ga0029352	Genome Analysis	Gp0001906	Gs0011859	2010-06-24	NA	NA	NA	2017-03-28	NA	Yes	NA	Yes	Yes	573063	32611	48803	2010-08-01	ME	Primary	NA	1328194	1513	
640753029	Archaea	Finished	Ignicoccus hospitalis KIN4/I	Ignicoccus hospitalis KIN4/I, DSM 18386	DOE Joint Genome Institute (JGI)	640753029	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis	NA	IMG/W 2.4	0	16090	NA	Genome Analysis	Ga0029076	Genome Analysis	Gp0000066	Gs0016121	2007-10-09	Phred-Phrap v. 4.24 SPS-Consed v. 20.0	NA	NA	2017-03-28	DOE	No	NA	Yes	Yes	453591	13914	58365	2007-12-01	KIN4/I, DSM 18386	Primary	NA	1297538	1496	
2524614668	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project	Methanocorpusculum bavaricum DSM 4179	DOE Joint Genome Institute (JGI)	2524614668	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	Methanocorpusculum bavaricum	Yes	0	14601	1013574	Microbial Minimal Draft Isolate Genome	Genome Analysis	Ga0002696	Genome Analysis	Gp0013042	Gs0015051	2013-05-22	Unknown program v. before 2013-05-03	NA	NA	2017-03-28	DOE; DSMZ	No	NA	Yes	Yes	1122230	0	0	2013-06-03	DSM 4179	Primary	NA	1706782	1801	
2516143104	Archaea	Permanent Draft	A Comparative Genomics Investigation on Hydrogen Production from Cellulosic Materials and Starch by a Hyperthermophilic Archaeon	Desulfurococcus amylolyticus DSM 3822	DOE Joint Genome Institute (JGI)	2516143104	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus amylolyticus	Yes	0	10152	400456	NA	Genome Analysis	Ga0025300	Genome Analysis	Gp0003961	Gs0011834	2012-08-01	Unknown program v. before 2012-06-01	NA	NA	2017-03-28	DOE	No	NA	Yes	Yes	1150674	0	0	2012-08-13	Z-533	Primary	NA	1307099	1453	
638341092	Archaea	Finished	Ferroplasma acidarmanus fer1	Ferroplasma acidarmanus Fer1	DOE Joint Genome Institute (JGI)	638341092	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	Ferroplasma acidarmanus	NA	IMG/W 2.0	0	16032	NA	Genome Analysis	Ga0028818	Genome Analysis	Gp0002298	Gs0014543	2006-10-02	NA	NA	NA	2017-03-28	DOE	No	NA	No	Yes	333146	239	54095	2006-12-01	Fer1	Primary	NA	1865438	1742	
2522572137	Archaea	Draft	Hot spring microbial communities from Yellowstone National Park, US	Sulfolobales-MK5-r02	DOE Joint Genome Institute (JGI)	2522572137	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	unclassified	Yes	0	13429	0	NA	Genome Analysis	Ga0012663	Genome Analysis	Gp0035747	Gs0016042	2013-03-08	NA	NA	released per Ryan Jennings	2017-03-28	NA	No	NA	No	Yes	2284	0	0	2016-11-30	NA	Primary	NA	1616080	1841	
643348525	Archaea	Finished	Candidatus Methanosphaerula palustris E1-9c	Methanosphaerula palustris E1-9c, DSM 19958	DOE Joint Genome Institute (JGI)	643348525	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanosphaerula	Methanosphaerula palustris	NA	IMG/W 2.8	0	52191	NA	Genome Analysis	Ga0028188	Genome Analysis	Gp0000003	Gs0012172	2009-02-11	Phred/Phrap/Consed	NA	NA	2017-03-28	NA	Yes	NA	Yes	Yes	521011	29381	59193	2009-04-01	E1-9c, DSM 19958	Primary	NA	2922917	2859	
2593339167	Archaea	Permanent Draft	The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.	Methanobrevibacter millerae DSM 16643	DOE Joint Genome Institute (JGI)	2593339167	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter millerae	Yes	0	51256	1034382	Microbial Minimal Draft Isolate Genome	Genome Analysis	Ga0007632	Genome Analysis	Gp0087971	Gs0033970	2014-10-15	vpAllpaths v. r46652	NA	NA	2017-03-28	DOE	No	NA	Yes	Yes	230361	0	0	2014-10-27	DSM 16643	Primary	NA	2725667	2467	
2617270732	Archaea	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Halorubrum sodomense RD 26	DOE Joint Genome Institute (JGI)	2617270732	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum sodomense	Yes	0	62333	1055355	Microbial Minimal Draft Isolate Genome	Genome Analysis	Ga0066361	Genome Analysis	Gp0110611	Gs0103574	2015-06-01	ALLPATHS v. r46652	NA	NA	2017-03-28	NA	No	NA	Yes	Yes	35743	0	0	2015-06-11	RD 26	Primary	NA	3030553	3084	
2651869596	Archaea	Permanent Draft	Deep subsurface shale carbon reservoir microbial communities from Ohio and West Virginia, USA	Haloterrigena hispanica CDM_1	DOE Joint Genome Institute (JGI)	2651869596	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena	Haloterrigena hispanica	Yes	0	78381	1066552	Microbial Minimal Draft Isolate Genome	Genome Analysis	Ga0073309	Genome Analysis	Gp0115198	Gs0114675	2016-03-01	ALLPATHS v. r46652	NA	NA	2017-03-28	NA	No	NA	Yes	Yes	392421	0	0	2016-03-09	CDM_1	Primary	NA	3914267	4252	
641228496	Archaea	Finished	5 mesophilic methanococci Proposal # 0179-051115	Methanococcus maripaludis C6	DOE Joint Genome Institute (JGI)	641228496	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis	NA	IMG/W 2.5	0	16134	NA	Genome Analysis	Ga0029359	Genome Analysis	Gp0000020	Gs0000006	2008-02-07	NA	NA	NA	2017-03-28	NA	No	NA	Yes	Yes	444158	19639	58947	2008-03-01	C6	Primary	NA	1744193	1874	
643692025	Archaea	Finished	Diverse archaeal organisms	Halorubrum lacusprofundi ATCC 49239	DOE Joint Genome Institute (JGI)	643692025	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum lacusprofundi	NA	IMG/W 2.9	0	16075	NA	Genome Analysis	Ga0028992	Genome Analysis	Gp0002309	Gs0012158	2009-06-09	NA	NA	NA	2017-03-28	NA	Yes	NA	Yes	Yes	416348	18455	58807	2009-08-01	ATCC 49239	Primary	NA	3692576	3725	
2617270917	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains	Halopelagius inordinatus CGMCC 1.7739	DOE Joint Genome Institute (JGI)	2617270917	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halopelagius	Halopelagius inordinatus	Yes	0	62930	1058176	Microbial Minimal Draft Isolate Genome	Genome Analysis	Ga0070189	Genome Analysis	Gp0112558	Gs0110196	2015-06-01	ALLPATHS v. r46652	NA	NA	2017-03-28	NA	No	NA	Yes	Yes	553467	0	0	2015-06-11	CGMCC 1.7739	Primary	NA	3529311	3666	
2522125044	Archaea	Draft	Hot spring microbial communities from Yellowstone National Park, US	Nanoarchaeota-NANO-r01 (from OSP_14)	DOE Joint Genome Institute (JGI)	2522125044	Nanoarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	Yes	0	12896	0	NA	Genome Analysis	Ga0012347	Genome Analysis	Gp0008713	Gs0016042	2013-02-22	NA	NA	released per Ryan Jennings	2017-03-28	NA	No	NA	No	Yes	192989	0	0	2016-11-30	NA	Primary	NA	130580	203	
2510065005	Archaea	Permanent Draft	A Proposal To Finish The Genome Of Desulfoglaeba alkanexedens And To Sequence A Thermococcus Strain	Thermococcus sp. PK	DOE Joint Genome Institute (JGI)	2510065005	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. PK	Yes	0	6787	403400	NA	Genome Analysis	Ga0025052	Genome Analysis	Gp0007939	Gs0000010	2011-12-28	ALLPATHS v. R37654	NA	NA	2017-03-28	DOE	Yes	NA	No	Yes	913025	62219	0	2011-12-28	PK	Primary	NA	2176573	2621	
2651870127	Archaea	Permanent Draft	Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera	Haloarchaeobius iranensis IBRC-M 10013	DOE Joint Genome Institute (JGI)	2651870127	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloarchaeobius	Haloarchaeobius iranensis	Yes	0	79817	1071380	Microbial Minimal Draft Isolate Genome	Genome Analysis	Ga0075265	Genome Analysis	Gp0116541	Gs0103574	2016-03-01	ALLPATHS v. r46652	NA	NA	2017-03-28	NA	No	NA	Yes	Yes	996166	0	0	2016-03-09	EB21,IBRC-M 10013,KCTC 4048	Primary	NA	3768606	3920	
2522125039	Archaea	Draft	Hot spring microbial communities from Yellowstone National Park, US	Thermoproteales-Type-1-TT1-r02 (from JCHS_4)	DOE Joint Genome Institute (JGI)	2522125039	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	unclassified	unclassified	Yes	0	12891	0	NA	Genome Analysis	Ga0012342	Genome Analysis	Gp0035618	Gs0016042	2013-02-22	NA	NA	released per Ryan Jennings	2017-03-28	NA	No	NA	No	Yes	2267	0	0	2016-11-30	NA	Primary	NA	3905320	4874	
